      80001     3.21210   101.07010          0.00000     -3.8322      0.0050	    -5.014	    -3.843	    -6.766
      80001     3.26020   101.08740          0.00000     -3.7788      0.0050	    -4.969	    -3.789	    -6.694
      80001     6.35090   102.19970          0.00000     -6.2700      0.0050	    -7.948	    -6.293	    -7.497
      80001     6.39930   102.21760          0.00000     -6.4370      0.0050	    -8.105	    -6.462	    -7.640
      80001     6.44880   102.23550          0.00000     -6.6408      0.0050	    -8.258	    -6.666	    -7.822
      80001     6.49840   102.25350          0.00000     -6.8298      0.0050	    -8.418	    -6.859	    -7.994
      80001     6.54800   102.27160          0.00000     -7.0173      0.0050	    -8.580	    -7.035	    -8.159
      80001     6.59750   102.28940         -0.00000     -7.1981      0.0050	    -8.732	    -7.193	    -8.310
      80001     6.64690   102.30730         -0.00000     -7.3532      0.0050	    -8.875	    -7.347	    -8.454
      80001     6.69070   102.32340         -0.00000     -7.4895      0.0050	    -8.993	    -7.487	    -8.585
      80001     6.73980   102.34130          0.00000     -7.6314      0.0050	    -9.102	    -7.634	    -8.722
      80001     6.78910   102.35910          0.00000     -7.7398      0.0050	    -9.185	    -7.743	    -8.829
      80001     6.83770   102.37680          0.00000     -7.8230      0.0050	    -9.249	    -7.825	    -8.916
      80001     6.88650   102.39460          0.00000     -7.8797      0.0050	    -9.295	    -7.881	    -8.971
      80001     6.93560   102.41240          0.00000     -7.9281      0.0050	    -9.330	    -7.932	    -9.011
      80001     6.98440   102.43010          0.00000     -7.9829      0.0050	    -9.374	    -7.989	    -9.059
      80001     7.03340   102.44800          0.00000     -8.0677      0.0050	    -9.435	    -8.071	    -9.132
      80001     7.08250   102.46580         -0.00000     -8.1672      0.0050	    -9.512	    -8.165	    -9.218
      80001     7.13140   102.48360         -0.00000     -8.2628      0.0050	    -9.599	    -8.262	    -9.303
      80001     7.17990   102.50130          0.00000     -8.3572      0.0050	    -9.691	    -8.361	    -9.389
